AddressInfo.Title,AddressInfo.Latitude,AddressInfo.Longitude,State,City,Max_Power_KW
"Manickbag Automobiles, Belagavi",15.8188,74.49224,Karnataka,Belagavi,25.0
Miraculum Kia,15.80545,74.48541,Karnataka,Belagavi,90.0
BPCL Goral Petroleum,15.83662,74.49365,Karnataka,Belagavi,30.0
Shri Mahalingeshwar Petroleums,15.80585,74.57531,Karnataka,Belagavi,30.0
Shell Recharge Heggeri Dharwad,15.52849,74.90613,Karnataka,Belur,120.0
Electronic City - BPCL,12.85327,77.6672,Karnataka,Bengaluru,30.0
Monk Mansion,12.841088856819354,77.66441658541129,Karnataka,Bengaluru,60.0
BloomSuites,12.839685411251564,77.65952566488613,Karnataka,Bengaluru,30.0
Metro Cash&Carry,12.86106588,77.66099764437081,Karnataka,Bengaluru,7.4
Miracle Dhaba,13.08468,77.41488,Karnataka,Bengaluru,60.0
Lithium Charging Station,13.014903182800126,77.64620471,Karnataka,Bengaluru,30.0
MG Motor B Narayanapura,12.99577,77.6847,Karnataka,Bengaluru,50.0
Trifecta Addatto,12.994305942257284,77.69929493060977,Karnataka,Bengaluru,60.0
Epitome KIA Whitefield,12.985769101393643,77.70856232742358,Karnataka,Bengaluru,150.0
BMW Deutsche Motoren,12.984136068485071,77.70811153054012,Karnataka,Bengaluru,50.0
Lithium Urban Tech Pvt Ltd,12.98306,77.70906,Karnataka,Bengaluru,60.0
"Fairfield by Marriott, Mahadevapura",12.981842444072356,77.70863283,Karnataka,Bengaluru,30.0
Prestige Technostar,12.972600290996027,77.71145680417794,Karnataka,Bengaluru,60.0
KHT Brookefield,12.96712414548928,77.71696159433418,Karnataka,Bengaluru,25.0
JLR Shakti Auto,12.963582255188314,77.71737953,Karnataka,Bengaluru,25.0
goEgo EV CHARGE PARK,12.96316,77.71814,Karnataka,Bengaluru,60.0
"Jio-bp Pulse Hub, Siddhapura",12.957173268150797,77.72954555409183,Karnataka,Bengaluru,60.0
DivyaSree LitBox,12.97098961190295,77.72502446,Karnataka,Bengaluru,60.0
Marriott Hotel Whitefield,12.979262407836174,77.72744812682743,Karnataka,Bengaluru,30.0
Nexus Shantiniketan Jio-BP,12.989040024957774,77.72758362256013,Karnataka,Bengaluru,60.0
Nexus Shantiniketan - Statiq,12.989065694796125,77.72760379808074,Karnataka,Bengaluru,60.0
Sheraton Grand Bengaluru Whitefield Hotel & Convention Center,12.989215375302493,77.72961910576282,Karnataka,Bengaluru,30.0
Divyasree NR Enclave,12.986347110711025,77.73038387486008,Karnataka,Bengaluru,60.0
Park Square Mall,12.987280089618991,77.73628236461366,Karnataka,Bengaluru,25.0
Taj Vivanta Whitefield,12.98720238234145,77.7373663,Karnataka,Bengaluru,30.0
The Zinc By Fern Hotels,12.97757571689229,77.75708951,Karnataka,Bengaluru,24.0
Nexus Whitefield Statiq,12.960076399887868,77.74719391663552,Karnataka,Bengaluru,60.0
Nexus Whitefield Jio-BP,12.960076399887868,77.74719391663552,Karnataka,Bengaluru,60.0
Forum South Bengaluru,12.88919162512768,77.56343684144673,Karnataka,Bengaluru,60.0
"Global Mall, Okalipuram",12.98211,77.56317,Karnataka,Bengaluru,30.0
Freedom Park,12.97859,77.58139,Karnataka,Bengaluru,25.0
Jio-BP Pulse Varthur Hub,12.93979,77.73447,Karnataka,Bengaluru,60.0
"Jio-BP Pulse Hub, Marathalli",12.95179,77.70207,Karnataka,Bengaluru,60.0
Exora Business Park,12.94329,77.69229,Karnataka,Bengaluru,60.0
Aloft Bengaluru Outer Ring Road ,12.93674468018763,77.69488851137544,Karnataka,Bengaluru,60.0
Bellandur Charging Hub,12.92924,77.70305,Karnataka,Bengaluru,60.0
Big Pitcher Sarjapur Road,12.90986,77.68856,Karnataka,Bengaluru,60.0
RMZ Eco World,12.92099415205729,77.68605456,Karnataka,Bengaluru,50.0
The Bay at Ecoworld,12.921003663939288,77.68539425864924,Karnataka,Bengaluru,80.0
Courtyard by Marriott,12.928234378881882,77.68218794687056,Karnataka,Bengaluru,60.0
DoubleTree Suites by Hilton Bengaluru Outer Ring Road,12.919111753741149,77.66515519490173,Karnataka,Bengaluru,60.0
MG Motor Hosur Road,12.86563,77.65753,Karnataka,Bengaluru,50.0
"Kropex Auto, Hosur Road",12.87194,77.65095,Karnataka,Bengaluru,25.0
Metropolis Gurukrupa,12.87544,77.64835,Karnataka,Bengaluru,60.0
"More Hypermarket, Hosur Road",12.88014,77.64592,Karnataka,Bengaluru,60.0
"Prerana Motors, Hongasandra",12.8912,77.63829,Karnataka,Bengaluru,25.0
Pratham Motors,12.89388,77.65157,Karnataka,Bengaluru,60.0
Divija EV charging Station,12.918010619982525,77.64926514630082,Karnataka,Bengaluru,25.0
"Bengaluru One, Old Airport Road",12.95925146155301,77.6627608,Karnataka,Bengaluru,25.0
Divyashree Greens,12.952724425242494,77.64085233195198,Karnataka,Bengaluru,60.0
Carzonrent,12.974519436687544,77.62146110718822,Karnataka,Bengaluru,60.0
The Park Hotel,12.973940635420362,77.61988884794027,Karnataka,Bengaluru,30.0
Taj MG Road,12.97331434540071,77.6195781,Karnataka,Bengaluru,30.0
"The Oberoi, Bengaluru",12.972788253204088,77.61840478,Karnataka,Bengaluru,60.0
The Pavilion 2,12.90375,77.60136,Karnataka,Bengaluru,150.0
Anant Cars Bannerghatta Road,12.90302,77.60159,Karnataka,Bengaluru,30.0
"Key Motors, Bannerghatta Road",12.88912,77.59736,Karnataka,Bengaluru,24.0
Royal Meenakshi Mall,12.8759,77.59583,Karnataka,Bengaluru,60.0
"Key Motors, Kanakapura Main Road",12.90401,77.57358,Karnataka,Bengaluru,25.0
BESCOM Rajarajeshwari Nagar,12.92905,77.514789,Karnataka,Bengaluru,50.0
BESCOM Byatarayanapura,12.950278857508296,77.54055692747397,Karnataka,Bengaluru,15.0
Welcomhotel Richmond Road,12.968709974182843,77.61440938105488,Karnataka,Bengaluru,60.0
Vivanta by Taj Residency Road,12.97248838809081,77.60854161055966,Karnataka,Bengaluru,30.0
Forum Rex Walk,12.972458,77.606851,Karnataka,Bengaluru,30.0
BMW Navnit Motors,12.97259859569182,77.59908118684689,Karnataka,Bengaluru,24.0
Hotel Southern Star,12.974727464060706,77.59942186908683,Karnataka,Bengaluru,30.0
Sundaram Motors,12.973845154518216,77.59597891080779,Karnataka,Bengaluru,90.0
JW Marriott,12.97228768658023,77.59492658243641,Karnataka,Bengaluru,60.0
Audi Central,12.97001545590929,77.60047478,Karnataka,Bengaluru,60.0
